Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in/Backpack-Business-Scratch-resistant-Multiple-Comfortable/dp/B0B6FNPN76/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-51,Arctic Hunter Backpack for Men Premium Business Backpack Office Travel Laptop,₹5999,4.4,151
https://www.amazon.in/POLESTAR-Ranker-Casual-Bagpack-Backpack/dp/B08421BRQ2/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-52,POLESTAR Ranker 15.6 inch 32 LTR Casual Laptop Backpack/Office,₹669,4.1,7565
https://www.amazon.in/DailyObjects-Lush-Midnight-Trapeze-Crossbody/dp/B082HZVTRG/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-53,DailyObjects Trapeze Sling Crossbody,₹1099,4.0,1257
https://www.amazon.in/Safari-Sheild-Resistant-Casual-Backpack/dp/B09B26T7KQ/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-54,Safari Sheild 26 Ltrs Water Resistant Casual Backpack - (SHEILD19CBBLK),₹699,3.9,1109
https://www.amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-55,URBAN CARRIER School,₹431,3.5,969
https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-56,NORTH ZONE Casual Waterproof Laptop Backpack/Office,₹630,4.0,486
https://www.amazon.in/ROZEN-partition-Collage-Backpack-SKYBLUE/dp/B0BRTFGG22/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-57,"ROZEN 47 Ltrs, 46 cms School",₹697,4.1,160
https://www.amazon.in/Zebronics-Compartment-Backpacks-15-6-inch-Black/dp/B0C6KZS555/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-58,"Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel",₹498,N/A,M.R.P: 
https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_59?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-59,AmazonBasics - Casual Backpack/Office,₹699,4.2,653
https://www.amazon.in/Gear-DOUBLE-Resistant-Backpack-Navy-Tan/dp/B0BTJ2T26W/ref=sr_1_60?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-60,Gear DOUBLE DECKER 31L Water Resistant Laptop,₹1295,3.5,17
